id;ts[s];lat[deg];lon[deg];alt[deg];ivx[m/s];ivy[m/s];ivz[m/s];gvx[rad/s];gvy[rad/s];gvz[rad/s];drone_or_x[rad];drone_or_y[rad];drone_or_z[rad];drone_or_q_x;drone_or_q_y;drone_or_q_z;drone_or_q_w;distance;collision;drone_x[m];drone_y[m];drone_z[m];pressure[Pa];qnh[hPa]
219;1652804977272966144;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.428959608078003;0.0008969788905233145;0.9620368480682373;1.0589543308014981e-05;-0.00048413552266490356;-0.14920455332496935;0.9037600389693;0.025041062384843826;-0.051975347101688385;0.43466252088546753;0.8987435698509216;0.8171006441116333;False;-0.15255379676818848;-2.3183553218841553;-1.0189521312713623;99854.5234375;1013.25
220;1652804977281966336;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.444844961166382;0.002758287824690342;1.0572307109832764;-0.0001177133308374323;-0.000734681102279661;-0.17558965742681415;0.9055418764995943;0.039374940097332;-0.08179380744695663;0.43562451004981995;0.8955393433570862;0.6327708959579468;False;-0.15029576420783997;-2.3379201889038086;-1.0181046724319458;99852.1875;1013.25
221;1652804977293966592;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.444844961166382;0.008648822084069252;1.1408075094223022;0.00030304474057629704;-0.0010845282033008588;-0.21764077684708266;0.9080920910086459;0.04858971759676933;-0.10081911087036133;0.43579718470573425;0.8930594325065613;0.6327708959579468;False;-0.14835654199123383;-2.348952054977417;-1.0095824003219604;99852.1875;1013.25
222;1652804977305966848;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.4605143070220947;0.00876436848193407;1.3877062797546387;0.0009206951363012195;-0.0013147852533156072;-0.24436225438580284;0.9097142837730655;0.04858971759676933;-0.10081911087036133;0.43579718470573425;0.8930594325065613;1.0513423681259155;False;-0.14835654199123383;-2.348952054977417;-1.0095824003219604;99857.6484375;1013.25
223;1652804977314967040;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.4605143070220947;0.008692506700754166;1.6027324199676514;-8.631203672848642e-05;-0.0015316363300072707;-0.26469614322514;0.9108936222948126;0.04858971759676933;-0.10081911087036133;0.43579718470573425;0.8930594325065613;1.0513423681259155;False;-0.14835654199123383;-2.348952054977417;-1.0095824003219604;99857.6484375;1013.25
224;1652804977323967232;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.4759697914123535;0.010517758317291737;1.7473431825637817;-0.001455408288165927;-0.001749746471599314;-0.27976743019144457;0.9120326359196601;0.06174153834581375;-0.12787799537181854;0.43580326437950134;0.8887691497802734;1.1750335693359375;False;-0.14477401971817017;-2.366755247116089;-1.0081634521484375;99859.2109375;1013.25
225;1652804977335967488;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.4759697914123535;0.012651149183511734;1.8535784482955933;0.002052289666607976;-0.0020089909579407133;-0.2936723017629974;0.913489984526111;0.06600295007228851;-0.13664531707763672;0.43579041957855225;0.8871630430221558;1.1750335693359375;False;-0.1432269662618637;-2.373727321624756;-1.0076454877853394;99859.2109375;1013.25
226;1652804977344967680;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.491212844848633;0.013544480316340923;1.9155149459838867;-5.177538696443662e-05;-0.0022444327984791498;-0.31313849187357556;0.9145680908194664;0.06600295007228851;-0.13664531707763672;0.43579041957855225;0.8871630430221558;1.0065425634384155;False;-0.1432269662618637;-2.373727321624756;-1.0076454877853394;99856.8046875;1013.25
227;1652804977353967872;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.491212844848633;0.01775718294084072;1.9640896320343018;0.001757788355462253;-0.002492024971269923;-0.3304058029445373;0.9159415107569675;0.06600295007228851;-0.13664531707763672;0.43579041957855225;0.8871630430221558;1.0065425634384155;False;-0.1432269662618637;-2.373727321624756;-1.0076454877853394;99856.8046875;1013.25
228;1652804977362968064;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.5062448978424072;0.016370104625821114;2.0583319664001465;-0.0022137039341032505;-0.002868156593416135;-0.32670785078569653;0.9181377852717312;0.07211268693208694;-0.14914007484912872;0.4367827773094177;0.8841820359230042;1.0065425634384155;False;-0.1374213546514511;-2.397620439529419;-1.0067214965820312;99856.8046875;1013.25
229;1652804977371968256;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.5062448978424072;0.01725045219063759;2.131836414337158;0.0015139958122745156;-0.002985116186090344;-0.3070993176490214;0.9189770576254919;0.06924206018447876;-0.1433824747800827;0.4376288950443268;0.8849451541900635;0.7670615911483765;False;-0.13705380260944366;-2.4038217067718506;-1.015074610710144;99853.0703125;1013.25
230;1652804977383968512;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.5210673809051514;0.02344677597284317;2.0545599460601807;0.0006237355410121381;-0.003006071879019294;-0.27633731032532954;0.9197449159629638;0.06924206018447876;-0.1433824747800827;0.4376288950443268;0.8849451541900635;0.7670615911483765;False;-0.13705380260944366;-2.4038217067718506;-1.015074610710144;99853.0703125;1013.25
231;1652804977395968768;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.5210673809051514;0.020199745893478394;1.7757892608642578;0.0011414692271500826;-0.0030821358034653903;-0.24718459639188975;0.9207526521249062;0.06924206018447876;-0.1433824747800827;0.4376288950443268;0.8849451541900635;1.125714898109436;False;-0.13705380260944366;-2.4038217067718506;-1.015074610710144;99858.1328125;1013.25
232;1652804977407969024;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.5356826782226562;0.017340077087283134;1.4869434833526611;0.0016568673308938742;-0.0031189285239106848;-0.2317425756060395;0.9214960546402647;0.05201323702931404;-0.10840427875518799;0.44123226404190063;0.8893015384674072;1.0976654291152954;False;-0.133796826004982;-2.422210931777954;-1.0085200071334839;99858.578125;1013.25
233;1652804977419969280;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.5356826782226562;0.017282044515013695;1.3600627183914185;0.0013090675929561257;-0.0031254468930890385;-0.21924162464677888;0.9222228260990257;0.04906006157398224;-0.10236922651529312;0.4419153332710266;0.8898452520370483;1.0976654291152954;False;-0.13210082054138184;-2.4267733097076416;-1.0087040662765503;99858.578125;1013.25
234;1652804977428969472;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.5500922203063965;0.021167825907468796;1.3513160943984985;-0.0008348959963768721;-0.003147354864165112;-0.2075929113857559;0.9231692088188314;0.04906006157398224;-0.10236922651529312;0.4419153332710266;0.8898452520370483;0.7701594233512878;False;-0.13210082054138184;-2.4267733097076416;-1.0087040662765503;99853.9921875;1013.25
235;1652804977437969664;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.5500922203063965;0.022005226463079453;1.3437296152114868;0.0007371212122961879;-0.0030987173247295136;-0.19602214736306792;0.9238381985241859;0.04906006157398224;-0.10236922651529312;0.4419153332710266;0.8898452520370483;0.7701594233512878;False;-0.13210082054138184;-2.4267733097076416;-1.0087040662765503;99853.9921875;1013.25
236;1652804977449969920;47.641439882715225;-122.14010233628353;122.09186553955078;0.00021963618928566575;-0.020740864798426628;2.5643627643585205;0.019796427339315414;1.2729088068008423;0.0019422321347519755;-0.0029648104223050703;-0.1764718655017445;0.9246772989756332;0.03966029733419418;-0.08302761614322662;0.4440346360206604;0.8912724852561951;0.4775809943675995;False;-0.12424679845571518;-2.441396713256836;-1.009257435798645;99850.3515625;1013.25
237;1652804977458970112;47.641439882715225;-122.14010233628353;122.09186553955078;0.00021963618928566575;-0.020740864798426628;2.5643627643585205;0.01891488954424858;1.1614145040512085;-0.0009595799492672086;-0.0029742591840528545;-0.16933091054245578;0.9253025608269447;0.03796666860580444;-0.07957489043474197;0.44447293877601624;0.8914427757263184;0.4775809943675995;False;-0.12237139791250229;-2.445662260055542;-1.0176410675048828;99850.3515625;1013.25
238;1652804977467970304;47.641439882715225;-122.14010233628353;122.09186553955078;0.011089739389717579;-0.007077510003000498;2.5793612003326416;0.02042219415307045;1.0542222261428833;0.003920852672308683;-0.0028152357910788493;-0.1454276966964715;0.9266521396607165;0.03796666860580444;-0.07957489043474197;0.44447293877601624;0.8914427757263184;0.4775809943675995;False;-0.12237139791250229;-2.445662260055542;-1.0176410675048828;99850.3515625;1013.25
239;1652804977476970496;47.641439882715225;-122.14010233628353;122.09186553955078;0.011089739389717579;-0.007077510003000498;2.5793612003326416;0.018842525780200958;0.9498622417449951;0.0026265678461641073;-0.0027366153663517328;-0.13726505273398346;0.9272019146036503;0.03796666860580444;-0.07957489043474197;0.44447293877601624;0.8914427757263184;1.0751266479492188;False;-0.12237139791250229;-2.445662260055542;-1.0176410675048828;99857.7734375;1013.25
240;1652804977485970688;47.641439882715225;-122.14010233628353;122.09186553955078;0.028382057324051857;0.014729944057762623;2.5956175327301025;0.01876685954630375;0.8483078479766846;-0.0023571534547954798;-0.0026530853878480466;-0.129829929004333;0.9277339592872417;0.028394758701324463;-0.059775546193122864;0.4463527500629425;0.8924068212509155;1.0751266479492188;False;-0.10881703346967697;-2.457542896270752;-1.0097421407699585;99857.7734375;1013.25
241;1652804977497970944;47.641439882715225;-122.14010233628353;122.09186553955078;0.028382057324051857;0.014729944057762623;2.5956175327301025;0.017278539016842842;0.7734087705612183;0.0034833115059882402;-0.002487195840627741;-0.11766126378947983;0.9284070518211666;0.026226453483104706;-0.055265188217163086;0.44680798053741455;0.8925361037254333;0.9221169948577881;False;-0.10429839789867401;-2.4607298374176025;-1.0098087787628174;99855.9765625;1013.25
242;1652804977506971136;47.641439882715225;-122.14010233628353;122.09186553955078;0.053333014249801636;0.04634533077478409;2.61447811126709;0.015729693695902824;0.7409385442733765;-0.0004454895097296685;-0.0024547619296012395;-0.11299368727407735;0.9289034502040608;0.026226453483104706;-0.055265188217163086;0.44680798053741455;0.8925361037254333;0.9221169948577881;False;-0.10429839789867401;-2.4607298374176025;-1.0098087787628174;99855.9765625;1013.25
243;1652804977515971328;47.641439882715225;-122.14010233628353;122.09186553955078;0.053333014249801636;0.04634533077478409;2.61447811126709;0.01659347303211689;0.7136471271514893;-0.0007863915525376797;-0.002370902165281773;-0.10608455929323646;0.9293756499707788;0.026226453483104706;-0.055265188217163086;0.44680798053741455;0.8925361037254333;0.44448965787887573;False;-0.10429839789867401;-2.4607298374176025;-1.0098087787628174;99849.546875;1013.25
244;1652804977524971520;47.641439882715225;-122.14010233628353;122.09186553955078;0.053333014249801636;0.04634533077478409;2.61447811126709;0.016433415934443474;0.6852414011955261;-0.0014392712619155645;-0.0022541670021872517;-0.0974181812733437;0.9299808449916167;0.021270789206027985;-0.044960133731365204;0.4478108286857605;0.8927438855171204;0.44448965787887573;False;-0.09210225939750671;-2.467548131942749;-1.009900689125061;99849.546875;1013.25
245;1652804977533971712;47.641439882715225;-122.14010233628353;122.09186553955078;0.08420790731906891;0.08563108742237091;2.6360342502593994;0.013250269927084446;0.6398221850395203;-7.573701441287994e-05;-0.0021666120270260876;-0.09158880870278742;0.9304173469061452;0.019986122846603394;-0.042277999222278595;0.4480746388435364;0.8927721977233887;0.8660081624984741;False;-0.08821181207895279;-2.4692959785461426;-1.0099151134490967;99855.5078125;1013.25
246;1652804977545971968;47.641439882715225;-122.14010233628353;122.09186553955078;0.08420790731906891;0.08563108742237091;2.6360342502593994;0.013101037591695786;0.5676398873329163;0.0006006772164255381;-0.002009812757914525;-0.08273251579215567;0.930972648413796;0.019986122846603394;-0.042277999222278595;0.4480746388435364;0.8927721977233887;0.8660081624984741;False;-0.08821181207895279;-2.4692959785461426;-1.0099151134490967;99855.5078125;1013.25
247;1652804977554972160;47.641439882715225;-122.14010233628353;122.09186553955078;0.1191582977771759;0.1302504986524582;2.6599018573760986;0.012518418952822685;0.5196842551231384;-7.478967017959803e-05;-0.0018844220911228332;-0.07481971744090044;0.931769967753179;0.019986122846603394;-0.042277999222278595;0.4480746388435364;0.8927721977233887;0.8063373565673828;False;-0.08821181207895279;-2.4692959785461426;-1.0099151134490967;99854.71875;1013.25
248;1652804977563972352;47.641439882715225;-122.14010233628353;122.09186553955078;0.1191582977771759;0.1302504986524582;2.6599018573760986;0.011393035762012005;0.47866585850715637;0.0007420661859214306;-0.0018079635636514132;-0.07051673278366798;0.9321466098502302;0.015662359073758125;-0.0332271084189415;0.449051171541214;0.89275062084198;0.8063373565673828;False;-0.07132269442081451;-2.476763963699341;-1.0184720754623413;99854.71875;1013.25
249;1652804977572972544;47.641439882715225;-122.14010233628353;122.09186553955078;0.15762341022491455;0.17953966557979584;2.6860952377319336;0.010880999267101288;0.4386400282382965;-0.00029727601213380694;-0.0017057911951016528;-0.06501820219810854;0.9326285173977643;0.014136439189314842;-0.030018791556358337;0.44932541251182556;0.8927518725395203;0.8063373565673828;False;-0.06453412771224976;-2.4771111011505127;-1.0099600553512573;99854.71875;1013.25
250;1652804977581972736;47.641439882715225;-122.14010233628353;122.09186553955078;0.15762341022491455;0.17953966557979584;2.6860952377319336;0.00928904116153717;0.4103270471096039;-0.0009754327475093305;-0.001631464278858803;-0.06121257016060683;0.932975662610806;0.014136439189314842;-0.030018791556358337;0.44932541251182556;0.8927518725395203;1.1373748779296875;False;-0.06453412771224976;-2.4771111011505127;-1.0099600553512573;99858.71875;1013.25
251;1652804977590972928;47.641439882715225;-122.14010233628353;122.09186553955078;0.193801149725914;0.22598429024219513;2.71067476272583;0.009505233727395535;0.3887706995010376;-0.00032859298516996205;-0.0015573621543201145;-0.05760879310680632;0.9333109707044847;0.014136439189314842;-0.030018791556358337;0.44932541251182556;0.8927518725395203;1.1373748779296875;False;-0.06453412771224976;-2.4771111011505127;-1.0099600553512573;99858.71875;1013.25
252;1652804977602973184;47.641439882715225;-122.14010233628353;122.09186553955078;0.193801149725914;0.22598429024219513;2.71067476272583;0.009053495712578297;0.3581237196922302;0.0012437102850526571;-0.0014317433440802273;-0.05195800482900119;0.9337376186836683;0.011518829502165318;-0.02450929954648018;0.44991159439086914;0.8926623463630676;0.8491610288619995;False;-0.049528349190950394;-2.4803268909454346;-1.0099356174468994;99855.0703125;1013.25
