Dron1_X,Dron1_Y,Dron1_Z,Dron4_X,Dron4_Y,Dron4_Z,Dron2_X,Dron2_Y,Dron2_Z,Dron3_X,Dron3_Y,Dron3_Z
-82.06508,152.57103,1451.515,40.02647,284.51535,1442.8546,-39.15891,139.77368,1451.5842,-126.96242,222.16187,1447.7181
-79.22481,136.33087,1452.811,42.766045,268.28262,1443.0802,-36.31047,123.563484,1453.0643,-124.17197,205.89313,1448.273
-76.36811,120.10184,1454.0636,45.52809,252.04128,1443.5557,-33.44692,107.36721,1454.4662,-121.3613,189.61716,1448.9496
-73.49531,103.89475,1455.2688,48.312393,235.81227,1444.25,-30.568554,91.19432,1455.7865,-118.53078,173.35037,1449.7346
-70.60668,87.7195,1456.422,51.118687,219.61406,1445.1278,-27.675625,75.05349,1457.0219,-115.6808,157.10786,1450.6122
-67.702484,71.585014,1457.5187,53.94667,203.46234,1446.1511,-24.768328,58.952595,1458.1694,-112.81174,140.90315,1451.5645
-64.78293,55.4993,1458.5538,56.795998,187.3702,1447.2804,-21.846807,42.89876,1459.2264,-109.92393,124.748215,1452.572
-61.84821,39.469418,1459.5227,59.66626,171.34807,1448.4757,-18.911156,26.898355,1460.1904,-107.01768,108.65334,1453.6146
-58.89847,23.50154,1460.4208,62.557022,155.40396,1449.6985,-15.9614105,10.957033,1461.0596,-104.09328,92.62725,1454.6719
-55.93383,7.600959,1461.2433,65.46784,139.54361,1450.9116,-12.997567,-4.9202585,1461.8323,-101.15097,76.67705,1455.723
-52.95438,-8.227878,1461.9865,68.398315,123.7706,1452.0814,-10.019579,-20.729265,1462.5076,-98.19097,60.80832,1456.7483
-49.96017,-23.981333,1462.6461,71.34816,108.08668,1453.1776,-7.02736,-36.466408,1463.085,-95.21344,45.025265,1457.7289
-46.95123,-39.656536,1463.2194,74.31721,92.49198,1454.1743,-4.0207934,-52.128773,1463.5645,-92.21854,29.330769,1458.6472
-43.927544,-55.251347,1463.7032,77.305435,76.98532,1455.0503,-0.99973136,-67.71408,1463.9464,-89.206345,13.726561,1459.4872
-40.889065,-70.7643,1464.0956,80.31297,61.564514,1455.7891,2.0360045,-83.220665,1464.2319,-86.17694,-1.7866666,1460.235
-37.83571,-86.19455,1464.3948,83.34002,46.22673,1456.3788,5.0866203,-98.64743,1464.4222,-83.130325,-17.209112,1460.8787
-34.767345,-101.54181,1464.5997,86.38688,30.968756,1456.8124,8.1523485,-113.993835,1464.519,-80.066475,-32.541733,1461.4083
-31.683796,-116.80629,1464.7101,89.45386,15.7872505,1457.0869,11.233444,-129.2598,1464.5245,-76.98531,-47.7861,1461.8164
-28.584831,-131.98862,1464.726,92.54129,0.6789557,1457.2035,14.330188,-144.4457,1464.4408,-73.88672,-62.944244,1462.0979
-25.470163,-147.08978,1464.6481,95.64949,-14.359173,1457.1664,17.442886,-159.55225,1464.2705,-70.77052,-78.018555,1462.2495
-22.339437,-162.11102,1464.4778,98.778755,-29.32985,1456.9829,20.571884,-174.58052,1464.0165,-67.63648,-93.01162,1462.2703
-19.192236,-177.05385,1464.2167,101.92933,-44.235374,1456.6626,23.717567,-189.53177,1463.6814,-64.48432,-107.926125,1462.1611
-16.028067,-191.91986,1463.8673,105.10141,-59.0776,1456.2166,26.880375,-204.40746,1463.2683,-61.31367,-122.764755,1461.9249
-12.846356,-206.71078,1463.4323,108.29517,-73.8579,1455.6569,30.060808,-219.20914,1462.7802,-58.12411,-137.53009,1461.566
-9.646448,-221.42839,1462.9146,111.510796,-88.57726,1454.9965,33.259438,-233.93846,1462.2197,-54.91513,-152.22456,1461.0902
-6.427597,-236.07439,1462.3175,114.748474,-103.23628,1454.2482,36.476917,-248.59705,1461.5901,-51.68613,-166.85037,1460.5042
-3.1889672,-250.65047,1461.6448,118.008446,-117.83523,1453.4242,39.713997,-263.1865,1460.8939,-48.43643,-181.40947,1459.8159
0.07036494,-265.15823,1460.9003,121.291046,-132.37415,1452.5364,42.971516,-277.70834,1460.1342,-45.165276,-195.90353,1459.0337
3.3514082,-279.59915,1460.0879,124.59667,-146.85292,1451.5955,46.250416,-292.164,1459.3134,-41.871822,-210.33397,1458.1667
6.655249,-293.97458,1459.2117,127.92584,-161.27133,1450.6106,49.55173,-306.55478,1458.4342,-38.555164,-224.70187,1457.2242
9.983043,-308.28568,1458.2756,131.27914,-175.62914,1449.5898,52.876606,-320.88184,1457.4989,-35.214333,-239.00812,1456.2152
13.3359995,-322.53357,1457.2839,134.65723,-189.92613,1448.5397,56.226254,-335.1462,1456.51,-31.84832,-253.25331,1455.1489
16.71537,-336.7191,1456.2405,138.06082,-204.16211,1447.4648,59.60197,-349.34875,1455.4697,-28.456089,-267.43784,1454.034
20.122421,-350.84302,1455.1493,141.49068,-218.33691,1446.3684,63.0051,-363.49023,1454.3802,-25.036594,-281.56192,1452.8785
23.558422,-364.90598,1454.014,144.94763,-232.45042,1445.2523,66.43702,-377.5712,1453.2437,-21.588804,-295.62558,1451.6903
27.02461,-378.90842,1452.8383,148.43256,-246.50261,1444.1168,69.8991,-391.5921,1452.0623,-18.111713,-309.62872,1450.4757
30.52217,-392.85077,1451.6256,151.94646,-260.49347,1442.9609,73.39268,-405.55328,1450.8384,-14.604367,-323.57117,1449.2408
34.052193,-406.73322,1450.3794,155.49042,-274.42313,1441.7827,76.91902,-419.45493,1449.5743,-11.065884,-337.45264,1447.9906
37.61565,-420.55594,1449.1025,159.06563,-288.29175,1440.5795,80.47926,-433.29712,1448.2728,-7.495476,-351.27277,1446.7291
41.21334,-434.31903,1447.7982,162.67342,-302.09955,1439.3484,84.074394,-447.07993,1446.9365,-3.8924778,-365.03125,1445.4595
44.845844,-448.0225,1446.4692,166.31511,-315.84683,1438.0862,87.70515,-460.80328,1445.5686,-0.25637433,-378.7278,1444.1837
48.513474,-461.6663,1445.1183,169.99211,-329.53384,1436.7904,91.37198,-474.4671,1444.1727,3.4131641,-392.3622,1442.9034
52.216217,-475.25034,1443.748,173.7057,-343.16086,1435.4592,95.07498,-488.07123,1442.7529,7.1162434,-405.93427,1441.6188
55.953682,-488.7745,1442.361,177.45702,-356.72815,1434.0922,98.81381,-501.61554,1441.3136,10.8527,-419.44388,1440.3296
59.725014,-502.2387,1440.9598,181.2469,-370.23584,1432.6906,102.5876,-515.09985,1439.8599,14.622052,-432.89102,1439.0348
63.528847,-515.64276,1439.5472,185.07578,-383.68408,1431.2579,106.39489,-528.52405,1438.3975,18.42344,-446.27573,1437.7323
