86,83,552,48,22,107,563,0.86,794,818,44,16,816,826,0.88,341,657,41,29,361,671,0.9,1711,185,48,48,1735,209,0.93,1170,236,47,38,1193,255,0.94
87,77,557,51,18,102,566,0.84,796,818,45,16,818,826,0.89,346,653,40,28,366,667,0.89,1159,231,47,38,1182,250,0.93,1698,170,51,51,1723,195,0.94
88,71,559,53,19,97,568,0.87,797,817,46,17,820,825,0.89,352,649,40,28,372,663,0.9,1686,160,52,49,1712,184,0.92,1153,226,44,41,1175,246,0.93
89,67,560,50,20,92,570,0.88,798,817,45,17,820,825,0.89,360,647,39,28,379,661,0.89,1144,224,43,40,1165,244,0.92,1668,148,53,47,1694,171,0.94
90,798,817,49,19,822,826,0.88,61,561,50,20,86,571,0.88,370,641,39,30,389,656,0.9,1641,137,57,43,1669,158,0.92,1135,219,43,44,1156,241,0.92
91,800,816,49,19,824,825,0.88,58,561,52,22,84,572,0.9,382,635,38,33,401,651,0.9,1127,219,39,41,1146,239,0.93,1616,125,59,45,1645,147,0.94
92,802,816,48,18,826,825,0.89,54,562,53,22,80,573,0.89,389,633,40,30,409,648,0.9,1117,217,40,41,1137,237,0.93,1582,112,60,47,1612,135,0.94
93,54,563,50,22,79,574,0.88,802,813,48,23,826,824,0.9,1109,217,38,39,1128,236,0.91,406,629,38,31,425,644,0.92,1553,101,60,51,1583,126,0.94
94,53,563,51,23,78,574,0.88,802,810,48,28,826,824,0.92,419,623,41,34,439,640,0.92,1100,216,40,41,1120,236,0.93,1517,90,65,48,1549,114,0.94
95,53,563,52,24,79,575,0.89,435,621,40,32,455,637,0.9,802,809,48,28,826,823,0.92,1090,218,39,38,1109,237,0.92,1483,77,67,50,1516,102,0.94
96,58,563,49,22,82,574,0.89,803,809,47,26,826,822,0.91,1077,219,46,37,1100,237,0.92,451,615,43,34,472,632,0.92,1455,68,67,51,1488,93,0.95
97,62,563,48,21,86,573,0.88,806,810,43,18,827,819,0.89,466,613,49,33,490,629,0.9,1069,220,47,37,1092,238,0.92,1417,54,70,54,1452,81,0.93
98,1303,0,36,24,1321,12,0.58,67,562,49,22,91,573,0.9,800,808,46,21,823,818,0.9,489,608,48,33,513,624,0.91,1059,222,48,33,1083,238,0.92,1387,41,69,63,1421,72,0.96
